,Year,Temperature,Precipitation,country
0,1970,6.706761666666666,52.83544166666666,USA
1,1971,6.315507499999999,54.00642500000001,USA
2,1972,6.309428333333334,55.37098333333333,USA
3,1973,6.887528333333332,60.52113333333333,USA
4,1974,6.713616666666668,53.77514166666666,USA
5,1975,6.302382499999999,57.84505833333333,USA
6,1976,6.650061666666668,47.51083333333333,USA
7,1977,7.308983333333333,54.32838333333333,USA
8,1978,6.927931666666666,53.976225,USA
9,1979,6.688906666666668,58.35510833333333,USA
10,1980,7.155950833333333,51.57109166666667,USA
11,1981,7.860701666666666,54.79709166666666,USA
12,1982,6.478369166666668,60.97601666666666,USA
13,1983,6.971061666666667,60.59684999999999,USA
14,1984,6.770079999999999,55.44433333333333,USA
15,1985,6.5784208333333325,55.13660833333334,USA
16,1986,7.541756666666665,56.68379999999999,USA
17,1987,7.718058333333335,52.63026666666667,USA
18,1988,7.334408333333332,47.87630000000001,USA
19,1989,6.852802499999999,54.37875833333334,USA
20,1990,7.451195833333334,59.23868333333334,USA
21,1991,7.565831666666665,56.847175,USA
22,1992,7.069145833333334,56.48325,USA
23,1993,7.096323333333332,58.93289999999999,USA
24,1994,7.376862499999998,55.54881666666666,USA
25,1995,7.483878333333334,56.57056666666666,USA
26,1996,6.730626666666668,58.42580833333333,USA
27,1997,7.090644166666666,55.71192500000001,USA
28,1998,8.0975725,59.97515833333333,USA
29,1999,7.286505833333332,51.95518333333333,USA
30,2000,7.496298333333333,52.32755,USA
31,2001,7.633218333333333,52.53631666666666,USA
32,2002,7.794915,52.2241,USA
33,2003,7.729782499999999,54.82019166666666,USA
34,2004,7.713543333333334,58.25925833333333,USA
35,2005,7.931033333333333,54.7526,USA
36,2006,7.9716691666666675,53.84495,USA
37,2007,7.8793799999999985,51.98381666666666,USA
38,2008,6.9901874999999976,55.84654166666666,USA
39,2009,7.167374999999999,56.32781666666666,USA
40,2010,7.591250000000001,55.43608333333333,USA
41,2011,7.548140000000001,56.06388333333334,USA
42,2012,8.173909166666666,52.15591666666668,USA
43,2013,7.329438333333332,58.49023333333333,USA
44,2014,7.782369999999999,57.03195,USA
45,2015,8.481253333333333,63.46590833333333,USA
46,2016,9.030836666666668,57.06392500000001,USA
47,1970,10.276935,128.88446666666667,Japan
48,1971,10.2422575,133.44110833333335,Japan
49,1972,10.797284166666666,161.30069999999995,Japan
50,1973,10.626771666666665,116.33051666666668,Japan
51,1974,10.074774166666666,134.93922499999996,Japan
52,1975,10.674335000000001,137.64530833333333,Japan
53,1976,10.102304166666666,141.09605833333333,Japan
54,1977,10.566574999999998,122.06045833333332,Japan
55,1978,10.8459425,103.96755,Japan
56,1979,11.16561,142.47705833333333,Japan
57,1980,10.151059166666666,160.46461666666667,Japan
58,1981,9.982656666666667,137.557475,Japan
59,1982,10.682659166666667,130.4737,Japan
60,1983,10.46942,135.10329166666665,Japan
61,1984,10.034118333333334,99.27137500000002,Japan
62,1985,10.636512499999998,137.49134166666667,Japan
63,1986,10.023324166666667,118.72134166666666,Japan
64,1987,10.8768,124.15886666666668,Japan
65,1988,10.317303333333337,132.23817499999998,Japan
66,1989,11.273419166666667,151.89284166666667,Japan
67,1990,11.935230833333335,143.54286666666667,Japan
68,1991,11.285607500000005,148.54379166666664,Japan
69,1992,10.969435833333335,125.45964166666666,Japan
70,1993,10.511665,160.9766,Japan
71,1994,11.694824166666665,99.95890833333333,Japan
72,1995,10.993556666666667,125.58745,Japan
73,1996,10.574900833333334,114.237125,Japan
74,1997,11.237715833333333,133.48071666666667,Japan
75,1998,11.720316666666667,158.4575,Japan
76,1999,11.599891666666664,143.42644166666668,Japan
77,2000,11.375715833333333,127.573625,Japan
78,2001,10.98532,128.31859999999998,Japan
79,2002,11.350846666666667,129.2736833333333,Japan
80,2003,11.013828333333333,142.47640833333338,Japan
81,2004,11.958797499999998,139.70644166666668,Japan
82,2005,11.05663,115.83561666666664,Japan
83,2006,11.263286666666666,149.71338333333333,Japan
84,2007,11.6946325,121.86255,Japan
85,2008,11.415177499999999,123.80634166666668,Japan
86,2009,11.465723333333335,136.82457499999998,Japan
87,2010,11.759870833333334,146.51639999999998,Japan
88,2011,11.318910833333335,145.12125,Japan
89,2012,11.119136666666668,142.17775833333332,Japan
90,2013,11.491659166666665,141.805125,Japan
91,2014,11.271364999999998,142.49424166666668,Japan
92,2015,11.8047175,146.50005,Japan
93,2016,11.875195,151.20018333333334,Japan
94,1970,-7.2069391666666665,36.764208333333336,Canada
95,1971,-7.005590833333333,39.08906666666665,Canada
96,1972,-8.951065833333333,37.522016666666666,Canada
97,1973,-6.346726666666666,39.57708333333333,Canada
98,1974,-7.861009166666669,39.348958333333336,Canada
99,1975,-7.139099999999999,38.74661666666667,Canada
100,1976,-6.9414741666666675,38.32606666666667,Canada
101,1977,-6.011002500000001,38.79026666666667,Canada
102,1978,-7.413300833333333,37.711333333333336,Canada
103,1979,-7.281226666666666,39.170475,Canada
104,1980,-6.491176666666665,39.86658333333333,Canada
105,1981,-4.947253333333333,39.22966666666667,Canada
106,1982,-8.0299175,39.68255833333333,Canada
107,1983,-6.949610000000001,39.45945833333333,Canada
108,1984,-6.837429166666666,40.12045,Canada
109,1985,-6.9442499999999985,37.921191666666665,Canada
110,1986,-7.046362499999997,39.10026666666667,Canada
111,1987,-5.679007500000003,37.31468333333334,Canada
112,1988,-6.121959166666668,39.981325,Canada
113,1989,-7.155417500000001,37.27083333333333,Canada
114,1990,-7.166322500000001,38.96042500000001,Canada
115,1991,-6.548698333333333,39.09265,Canada
116,1992,-7.095869166666668,37.868025,Canada
117,1993,-6.4398316666666675,37.79025,Canada
118,1994,-6.416501666666666,38.532425,Canada
119,1995,-6.272844999999999,37.42585,Canada
120,1996,-7.017297499999999,40.44761666666667,Canada
121,1997,-6.323374999999999,39.790141666666656,Canada
122,1998,-4.659417499999999,38.29540833333333,Canada
123,1999,-5.460449166666666,40.54865833333333,Canada
124,2000,-6.2110125,38.075816666666654,Canada
125,2001,-5.4043575,38.412975,Canada
126,2002,-6.4187683333333325,37.6574,Canada
127,2003,-5.9090050000000005,38.31948333333333,Canada
128,2004,-7.077128333333333,37.859675,Canada
129,2005,-5.349289166666666,41.74080833333335,Canada
130,2006,-4.633815,38.14445833333335,Canada
131,2007,-6.174463333333333,39.452025,Canada
132,2008,-6.482341666666667,39.95335,Canada
133,2009,-6.2661983333333335,38.483491666666666,Canada
134,2010,-4.186646666666667,39.92811666666667,Canada
135,2011,-5.709931666666665,38.33970833333334,Canada
136,2012,-5.3988733333333325,37.82644166666665,Canada
137,2013,-6.4649600000000005,37.156641666666665,Canada
138,2014,-6.220375833333333,38.9816,Canada
139,2015,-5.9539358333333325,36.49417500000001,Canada
140,2016,-4.965330833333334,38.86465,Canada
141,1973,16.676213495984133,2.8172845450168635,Ireland
142,1974,16.018640391431664,3.2830487296959854,Ireland
143,1975,17.15726218072989,2.467412530512627,Ireland
144,1976,16.733347782634347,2.862280343277502,Ireland
145,1977,16.9317058468957,3.2277801091061944,Ireland
146,1978,16.85827020852494,3.011914715719084,Ireland
147,1979,15.397805543765454,3.2250000000000245,Ireland
148,1980,16.212867754875656,3.298528099910813,Ireland
149,1981,16.538728023326307,3.1484156570363675,Ireland
150,1982,17.18305632718982,3.615314494074772,Ireland
151,1983,16.93258397431375,3.065909090909107,Ireland
152,1984,16.966235079003297,3.121765209940032,Ireland
153,1985,15.76192913075114,3.4525161290322743,Ireland
154,1986,15.126458541458526,3.4778577476714823,Ireland
155,1987,16.232665723533767,3.0334204793028414,Ireland
156,1988,16.455024638151205,3.4453648068669764,Ireland
157,1989,17.451911715166748,3.0486713906111764,Ireland
158,1990,17.69955297191057,3.349608013937299,Ireland
159,1991,16.98809430408393,3.059424778761075,Ireland
160,1992,16.815142825362877,3.2873748367436004,Ireland
161,1993,17.034873484581727,3.539811133200806,Ireland
162,1994,17.01888782245728,3.7558873720136696,Ireland
163,1995,18.219760241810995,3.4097826086956693,Ireland
164,1996,16.59202343364166,3.4284662045060785,Ireland
165,1997,18.273061428779755,3.317236899090525,Ireland
166,1998,17.951424515176704,3.7939013840830587,Ireland
167,1999,17.81554613794712,3.6160670482420554,Ireland
168,2000,17.312928169576956,3.8014573510501712,Ireland
169,2001,17.26043755777354,3.0878260869565466,Ireland
170,2002,17.594852103719802,4.118075422626801,Ireland
171,2003,18.05150086323711,2.7812852800694925,Ireland
172,2004,17.801066785804686,3.0966086956521948,Ireland
173,2005,17.971530401876024,3.3827009936766266,Ireland
174,2006,18.202291469867816,4.076831683168342,Ireland
175,2007,18.615541565750505,3.5626494023904614,Ireland
176,2008,17.597772724876748,4.30325982742092,Ireland
177,2009,17.414084053738872,4.593441064638805,Ireland
178,2010,15.340593016792992,3.3238000000000083,Ireland
179,2011,17.573954976754788,4.0574746008708455,Ireland
180,2012,17.200616422947178,3.722185209860116,Ireland
181,2013,17.23344401400415,3.2068083261058287,Ireland
182,2014,18.091872906493712,3.667724196277508,Ireland
183,2015,17.29187316328373,4.016317432010712,Ireland
184,2016,17.78922242338031,3.132949876746118,Ireland
185,2017,18.073065351874725,3.141148325358873,Ireland
186,2018,17.365713560864965,3.277972972972992,Ireland
187,1973,14.013066348271868,2.141950207468896,Scotland
188,1974,14.054673005489633,2.3416938110749443,Scotland
189,1975,14.542543998910404,2.0664646464646643,Scotland
190,1976,14.501037920889177,2.1732724384432256,Scotland
191,1977,13.490555041137837,2.4811183144246565,Scotland
192,1978,13.541765044858787,2.462170790103774,Scotland
193,1979,12.719560808547714,2.6527032438926983,Scotland
194,1980,13.813051614560447,2.6509119746233423,Scotland
195,1981,13.575082441459406,2.577374301676003,Scotland
196,1982,14.421311714121478,3.212493651599816,Scotland
197,1983,14.750514929706357,2.5845584607795,Scotland
198,1984,14.6123176636799,3.0898433552299305,Scotland
199,1985,13.256264274751642,3.3596845736816383,Scotland
200,1986,13.127477389763186,3.019050000000024,Scotland
201,1987,13.447738069297746,2.8253145445395265,Scotland
202,1988,14.568356770439793,3.1280500000000204,Scotland
203,1989,14.979556941920887,2.3590113285273047,Scotland
204,1990,15.03387889454144,3.187437686939205,Scotland
205,1991,14.448130516657713,2.6779240506329285,Scotland
206,1992,14.319503827626386,3.2134751773049848,Scotland
207,1993,13.475823617784245,2.994052419354845,Scotland
208,1994,14.23130712887157,3.2402051282051403,Scotland
209,1995,14.874823568142402,2.8819148936170285,Scotland
210,1996,14.007009312853748,2.7578364116095044,Scotland
211,1997,15.52876067924086,2.9108008429926238,Scotland
212,1998,14.7847224026167,3.3203372508942413,Scotland
213,1999,15.033238431412935,2.9139326800170915,Scotland
214,2000,14.779256525078607,4.034401972873037,Scotland
215,2001,14.064141158480314,3.2406731317741304,Scotland
216,2002,14.807007103819394,3.9481401617250937,Scotland
217,2003,14.322894131362366,2.215014299332704,Scotland
218,2004,13.555997645203286,3.0506012506012645,Scotland
219,2005,14.732142945041971,2.663588621444224,Scotland
220,2006,15.203224853982793,2.5359368836292253,Scotland
221,2007,14.863119679090655,2.5903595416831613,Scotland
222,2008,13.284823320768414,2.7585433070866405,Scotland
223,2009,14.28332938127739,2.9830914083954863,Scotland
224,2010,13.537212410195274,2.3147360126083747,Scotland
225,2011,15.395981179754216,2.8120253164557205,Scotland
226,2012,14.098866066836235,2.674558996471994,Scotland
227,2013,14.829121241097331,2.387790468688487,Scotland
228,2014,15.711533492413304,2.9459724950884367,Scotland
229,2015,14.880465527800643,2.9942599425994536,Scotland
230,2016,14.281478044691124,2.7535056967572604,Scotland
231,2017,14.959843906399364,2.9028500619578934,Scotland
232,2018,15.35219856256417,2.8020202020202385,Scotland
233,2019,,2.6087567567567547,Scotland
