id,value
Whiskey Styles,
Whiskey Styles.Single Malt Scotch,
Whiskey Styles.Single Malt Scotch.oak,933
Whiskey Styles.Single Malt Scotch.vanilla,787
Whiskey Styles.Single Malt Scotch.sherry,741
Whiskey Styles.Single Malt Scotch.fruit,739
Whiskey Styles.Single Malt Scotch.sweet,696
Whiskey Styles.Single Malt Scotch.old,630
Whiskey Styles.Single Malt Scotch.smoke,600
Whiskey Styles.Single Malt Scotch.chocolate,562
Whiskey Styles.Single Malt Scotch.malt,537
Whiskey Styles.Single Malt Scotch.casks,518
Whiskey Styles.Flavored,
Whiskey Styles.Flavored.sweet,64
Whiskey Styles.Flavored.cinnamon,42
Whiskey Styles.Flavored.like,40
Whiskey Styles.Flavored.maple,31
Whiskey Styles.Flavored.vanilla,23
Whiskey Styles.Flavored.hot,21
Whiskey Styles.Flavored.honey,20
Whiskey Styles.Flavored.bourbon,20
Whiskey Styles.Flavored.pepper,17
Whiskey Styles.Flavored.flavor,16
Whiskey Styles.Bourbon,
Whiskey Styles.Bourbon.oak,449
Whiskey Styles.Bourbon.vanilla,346
Whiskey Styles.Bourbon.caramel,327
Whiskey Styles.Bourbon.cinnamon,315
Whiskey Styles.Bourbon.bourbon,292
Whiskey Styles.Bourbon.fruit,281
Whiskey Styles.Bourbon.spice,250
Whiskey Styles.Bourbon.sweet,237
Whiskey Styles.Bourbon.corn,174
Whiskey Styles.Bourbon.leather,145
Whiskey Styles.Blended Malt Scotch,
Whiskey Styles.Blended Malt Scotch.smoke,100
Whiskey Styles.Blended Malt Scotch.peat,64
Whiskey Styles.Blended Malt Scotch.chocolate,60
Whiskey Styles.Blended Malt Scotch.sweet,60
Whiskey Styles.Blended Malt Scotch.vanilla,59
Whiskey Styles.Blended Malt Scotch.malt,57
Whiskey Styles.Blended Malt Scotch.orange,57
Whiskey Styles.Blended Malt Scotch.spices,56
Whiskey Styles.Blended Malt Scotch.fruit,49
Whiskey Styles.Blended Malt Scotch.apple,45
Whiskey Styles.Blended Scotch,
Whiskey Styles.Blended Scotch.spices,104
Whiskey Styles.Blended Scotch.orange,103
Whiskey Styles.Blended Scotch.blend,101
Whiskey Styles.Blended Scotch.vanilla,99
Whiskey Styles.Blended Scotch.smoke,91
Whiskey Styles.Blended Scotch.toffee,88
Whiskey Styles.Blended Scotch.sweet,88
Whiskey Styles.Blended Scotch.oak,84
Whiskey Styles.Blended Scotch.chocolate,80
Whiskey Styles.Blended Scotch.spice,77
Whiskey Styles.Blended,
Whiskey Styles.Blended.vanilla,76
Whiskey Styles.Blended.spices,45
Whiskey Styles.Blended.apple,41
Whiskey Styles.Blended.oak,37
Whiskey Styles.Blended.sweet,34
Whiskey Styles.Blended.honey,32
Whiskey Styles.Blended.orange,30
Whiskey Styles.Blended.spice,30
Whiskey Styles.Blended.malt,29
Whiskey Styles.Blended.toffee,27
Whiskey Styles.Single Malt,
Whiskey Styles.Single Malt.vanilla,81
Whiskey Styles.Single Malt.sweet,68
Whiskey Styles.Single Malt.spices,65
Whiskey Styles.Single Malt.pepper,57
Whiskey Styles.Single Malt.orange,50
Whiskey Styles.Single Malt.malt,48
Whiskey Styles.Single Malt.fruit,47
Whiskey Styles.Single Malt.oak,46
Whiskey Styles.Single Malt.chocolate,45
Whiskey Styles.Single Malt.honey,40
Whiskey Styles.Single Grain,
Whiskey Styles.Single Grain.grain,72
Whiskey Styles.Single Grain.vanilla,63
Whiskey Styles.Single Grain.sweet,47
Whiskey Styles.Single Grain.oak,37
Whiskey Styles.Single Grain.spices,36
Whiskey Styles.Single Grain.orange,33
Whiskey Styles.Single Grain.apple,33
Whiskey Styles.Single Grain.honey,27
Whiskey Styles.Single Grain.spice,27
Whiskey Styles.Single Grain.fruits,26
Whiskey Styles.Japan,
Whiskey Styles.Japan.spices,41
Whiskey Styles.Japan.fruit,41
Whiskey Styles.Japan.sweet,39
Whiskey Styles.Japan.oak,34
Whiskey Styles.Japan.water,33
Whiskey Styles.Japan.orange,33
Whiskey Styles.Japan.japanese,31
Whiskey Styles.Japan.fruits,31
Whiskey Styles.Japan.light,29
Whiskey Styles.Japan.apple,26
Whiskey Styles.Canada,
Whiskey Styles.Canada.sweet,178
Whiskey Styles.Canada.rye ,132
Whiskey Styles.Canada.spices,100
Whiskey Styles.Canada.hot,99
Whiskey Styles.Canada.pepper,99
Whiskey Styles.Canada.canadian,97
Whiskey Styles.Canada.oak,95
Whiskey Styles.Canada.vanilla,88
Whiskey Styles.Canada.hints,83
Whiskey Styles.Canada.fruit,76
Whiskey Styles.Irish,
Whiskey Styles.Irish.vanilla,51
Whiskey Styles.Irish.malt,47
Whiskey Styles.Irish.sweet,44
Whiskey Styles.Irish.fruit,42
Whiskey Styles.Irish.oak,39
Whiskey Styles.Irish.old,32
Whiskey Styles.Irish.fruits,31
Whiskey Styles.Irish.spice,30
Whiskey Styles.Irish.apple,30
Whiskey Styles.Irish.still,28
Whiskey Styles.Generic,
Whiskey Styles.Generic.sweet,134
Whiskey Styles.Generic.oak,123
Whiskey Styles.Generic.vanilla,106
Whiskey Styles.Generic.malt,99
Whiskey Styles.Generic.fruit,96
Whiskey Styles.Generic.chocolate,96
Whiskey Styles.Generic.apple,95
Whiskey Styles.Generic.spices,88
Whiskey Styles.Generic.pepper,80
Whiskey Styles.Generic.fruits,76
Whiskey Styles.Rye,
Whiskey Styles.Rye.rye ,224
Whiskey Styles.Rye.oak,86
Whiskey Styles.Rye.cinnamon,83
Whiskey Styles.Rye.spice,74
Whiskey Styles.Rye.vanilla,67
Whiskey Styles.Rye.sweet,58
Whiskey Styles.Rye.mint,55
Whiskey Styles.Rye.fruit,53
Whiskey Styles.Rye.old,51
Whiskey Styles.Rye.caramel,49
Whiskey Styles.White,
Whiskey Styles.White.corn,17
Whiskey Styles.White.sweet,12
Whiskey Styles.White.white,10
Whiskey Styles.White.rye ,10
Whiskey Styles.White.hot,8
Whiskey Styles.White.fresh,7
Whiskey Styles.White.grain,7
Whiskey Styles.White.wheat,6
Whiskey Styles.White.clean,6
Whiskey Styles.White.light,6
Whiskey Styles.Craft,
Whiskey Styles.Craft.oak,287
Whiskey Styles.Craft.sweet,250
Whiskey Styles.Craft.rye ,233
Whiskey Styles.Craft.corn,139
Whiskey Styles.Craft.spice,128
Whiskey Styles.Craft.malt,121
Whiskey Styles.Craft.hot,118
Whiskey Styles.Craft.chocolate,98
Whiskey Styles.Craft.grain,97
Whiskey Styles.Craft.cinnamon,92